abortlagen (1974:595)
ackordslagen (1970:847)
aktiebolagsförordningen (1975:1387)
aktiebolagslagen (1975:1385)
aktiefondslagen (1974:931)
aktiekontolagen (1988:827)
aktiekontolagen (1989:827)
alkoholförordningen (1994:2046)
alkohollagen (1994:1738)
anläggningslagen (1973:1149)
anslagsförordningen (1992:760)
anställningförordningen (1994:373)
anställningsförordningen (1965:601)
anställningsförordningen (1994:373)
ansvarslagen (1992:18)
arbetarskyddslagen (1949:1)
arbetsmiljöförordningen (1977:1166)
arbetsmiljölagen (1977:1160)
arbetstidslagen (1982:673)
arkivförordningen (1970:446)
arkivförordningen (1991:446)
arkivlagen (1990:728)
arkivlagen (1990:782)
artskyddsförordningen (1998:179)
atomansvarighetslagen (1968:45)
atomenergilagen (1956:306)
avfallsförordningen (2001:1063)
avgiftsförordningen (1992:191)
bankaktiebolagslagen (1987:618)
bankrörelseförordningen (1987:647)
bankrörelselagen (1987:617)
barnavårdslagen (1960:97)
begravningslagen (1990:1144)
begränsningsförordningen (1987:1347)
berberislagen (1976:451)
beredskapsförordningen (1993:242)
beredskapslagen (1987:1262)
bevissäkringslagen (1975:1027)
bibliotekslagen (1996:1596)
bilavgasförordningen (1987:586)
bilavgasförordningen (1991:1481)
bilavgaslagen (1986:1386)
bildningslagen (1970:988)
bilskrotningslagen (1975:343)
bisjukdomslagen (1974:211)
bokföringsförordningen (1979:1212)
bokföringslagen (1929:117)
bokföringslagen (1975:125)
bokföringslagen (1976:125)
bokföringslagen (1999:1078)
bolagslagen (1975:1385)
bostadsanvisningslagen (1980:94)
bostadsfinansieringsförordningen (1974:946)
bostadsförvaltningslagen (1977:792)
bostadsrättslagen (1971:479)
bostadsrättslagen (1991:614)
bostadssaneringslagen (1973:531)
brandlagen (1974:80)
brottsskadelagen (1978:413)
budgetförordningen (1989:400)
bygglagen (1987:10)
byggnadslagen (1947:385)
byggproduktförordningen (1993:1051)
byggproduktlagen (1992:1535)
båtregistreringslagen (1975:604)
bötesverkställighetsförordningen (1979:197)
